formatted_date,IBM,RR.L,EBAY,INTC,NKE
28/9/16,136.4378815,674.4052734,31.23282814,34.22227478,51.09044647
29/9/16,136.2827606,669.7055054,31.67410469,34.1125946,50.04465103
30/9/16,136.9206085,676.7550049,32.2624855,34.50563431,50.51477814
3/10/16,135.8517914,693.2039795,31.91926384,34.42337036,50.53396988
4/10/16,134.8605499,714.8225708,31.92907143,34.31369019,50.0254631
5/10/16,135.3949432,709.1829834,31.52701378,34.72500992,50.00627899
6/10/16,135.2225647,714.3525391,31.50740433,34.79813766,49.91991806
7/10/16,134.1795959,728.9215698,31.00728607,34.82556152,49.68966293
10/10/16,135.3432007,738.3209839,31.33088875,34.75243378,49.68966293
11/10/16,133.4210815,727.9816284,30.85038567,34.06689072,49.71843338
12/10/16,132.990097,708.7130127,30.88961029,33.93893433,50.31329346
13/10/16,132.498764,706.3630371,30.89941406,33.79268265,49.91991806
14/10/16,133.1279907,718.5823975,31.27205086,34.23142242,49.52654648
17/10/16,133.4038391,727.041748,31.19360352,34.08517456,48.96048355
18/10/16,129.9129333,715.2926025,31.02689552,34.50563431,49.14277649
19/10/16,130.3783875,719.9921875,31.8898468,32.45814896,49.69924927
20/10/16,130.6024933,724.342041,28.4576664,32.38502502,49.78559875
21/10/16,128.9734039,713.9402466,28.49689102,32.12909698,49.67046738
24/10/16,129.7836456,705.4296875,28.65378952,32.22964096,49.76641464
25/10/16,130.0508575,698.8104248,28.48708344,32.08338928,48.97966766
26/10/16,130.852478,696.4463501,28.26154137,31.91886139,49.86234665
27/10/16,132.1798859,700.2288208,28.25173378,31.81831932,49.78559875
28/10/16,131.542038,694.5551147,28.04580307,31.7543335,49.91033173
31/10/16,132.4729309,686.9901733,27.95754814,31.87314987,48.14495087
1/11/16,131.6971588,686.517334,27.83006668,31.55323792,47.60765457
2/11/16,130.9731293,680.8436279,27.71239281,31.62635612,47.70360184
3/11/16,131.335144,669.0234985,27.51626778,31.24876022,47.71319962
4/11/16,131.3868713,673.7515869,27.40840149,30.95405006,47.93386459
7/11/16,134.2226868,684.6261597,27.69277954,31.94870186,48.84535217
8/11/16,134.9619904,679.425354,27.48685074,31.99475861,49.00845337
9/11/16,134.6488495,716.7771606,27.74181175,32.00395966,49.04682159
